2021-11-14 19:05:13.198  INFO 29708 --- [main] s.TimesheetDevopsProjectApplicationTests : Starting TimesheetDevopsProjectApplicationTests using Java 11.0.10 on Macbook.local with PID 29708 (started by macbook in /Users/macbook/Downloads/timesheet-devopsProject)
2021-11-14 19:05:13.206  INFO 29708 --- [main] s.TimesheetDevopsProjectApplicationTests : No active profile set, falling back to default profiles: default
2021-11-14 19:05:18.002  INFO 29708 --- [main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-11-14 19:05:18.168  WARN 29708 --- [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-11-14 19:05:18.368  INFO 29708 --- [main] t.e.spring.services.UserServiceImplTest  : Started UserServiceImplTest in 0.769 seconds (JVM running for 6.787)
2021-11-14 19:05:18.373  INFO 29708 --- [main] t.e.spring.services.UserServiceImpl      : In method Add User
2021-11-14 19:05:18.457  INFO 29708 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur Ajoute
2021-11-14 19:05:18.464  INFO 29708 --- [main] t.e.spring.services.UserServiceImpl      : In Method retrieve all Users : 
2021-11-14 19:05:18.632  INFO 29708 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=1, firstName=Mourad, lastName=Tlili, dateNaissance=2021-11-05, role=ADMINISTRATEUR] : trouve:
2021-11-14 19:05:18.632  INFO 29708 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=2, firstName=Mourad, lastName=Tlili, dateNaissance=2021-11-05, role=TECHNICIEN] : trouve:
2021-11-14 19:05:18.632  INFO 29708 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=3, firstName=Mourad, lastName=Tlili, dateNaissance=2021-11-11, role=INGENIEUR] : trouve:
2021-11-14 19:05:18.632  INFO 29708 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=4, firstName=Mourad, lastName=Tlili, dateNaissance=2021-11-11, role=CHEF_DEPARTEMENT] : trouve:
2021-11-14 19:05:18.633  INFO 29708 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=5, firstName=Mourad, lastName=Tlili, dateNaissance=2021-11-11, role=TECHNICIEN] : trouve:
2021-11-14 19:05:18.633  INFO 29708 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=6, firstName=Mourad, lastName=Tlili, dateNaissance=2021-11-11, role=INGENIEUR] : trouve:
2021-11-14 19:05:18.633  INFO 29708 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=7, firstName=Mourad, lastName=Tlili, dateNaissance=2021-11-13, role=ADMINISTRATEUR] : trouve:
2021-11-14 19:05:18.633  INFO 29708 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=8, firstName=Mourad, lastName=Tlili, dateNaissance=2021-11-13, role=CHEF_DEPARTEMENT] : trouve:
2021-11-14 19:05:18.633  INFO 29708 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=9, firstName=Mourad, lastName=Tlili, dateNaissance=2021-11-13, role=TECHNICIEN] : trouve:
2021-11-14 19:05:18.633  INFO 29708 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=10, firstName=Mourad, lastName=Tlili, dateNaissance=2021-11-13, role=TECHNICIEN] : trouve:
2021-11-14 19:05:18.633  INFO 29708 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=11, firstName=Mourad, lastName=Tlili, dateNaissance=2021-11-13, role=ADMINISTRATEUR] : trouve:
2021-11-14 19:05:18.633  INFO 29708 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=12, firstName=Mourad, lastName=Tlili, dateNaissance=2021-11-13, role=ADMINISTRATEUR] : trouve:
2021-11-14 19:05:18.633  INFO 29708 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=13, firstName=Nermine, lastName=Belarbi, dateNaissance=2021-11-14, role=TECHNICIEN] : trouve:
2021-11-14 19:05:18.634  INFO 29708 --- [main] t.e.spring.services.UserServiceImpl      : Out of Method retrieve all users with success
2021-11-14 19:05:18.644  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Into Method Add Department! 
2021-11-14 19:05:18.652  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Department added! 
2021-11-14 19:05:18.656  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Into Method Update Department! 
2021-11-14 19:05:18.660  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Department Updated! 
2021-11-14 19:05:18.665  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Searching department ...
2021-11-14 19:05:18.695  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Department tn.esprit.spring.entities.Departement@40ecead5 found
2021-11-14 19:05:18.700  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : In method Retrrieve Departements!
2021-11-14 19:05:18.739  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Connexion a la base de donnée effectuée! 
2021-11-14 19:05:18.739  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@45430a27
2021-11-14 19:05:18.739  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@1b83fac3
2021-11-14 19:05:18.739  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@1500edf3
2021-11-14 19:05:18.740  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@759c53e5
2021-11-14 19:05:18.740  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@28d37d43
2021-11-14 19:05:18.740  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@2c02cf78
2021-11-14 19:05:18.740  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@3e7fc07e
2021-11-14 19:05:18.740  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@29ebaf2f
2021-11-14 19:05:18.740  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@1a61f634
2021-11-14 19:05:18.740  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@20a2930f
2021-11-14 19:05:18.740  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@609edb55
2021-11-14 19:05:18.740  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@147892be
2021-11-14 19:05:18.740  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@23e1f610
2021-11-14 19:05:18.741  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@73dc7db0
2021-11-14 19:05:18.741  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@1a3a6216
2021-11-14 19:05:18.741  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@319ea996
2021-11-14 19:05:18.741  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@1de398c3
2021-11-14 19:05:18.741  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@dc24732
2021-11-14 19:05:18.741  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@44a1ae4e
2021-11-14 19:05:18.741  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@377d55
2021-11-14 19:05:18.741  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@193c810
2021-11-14 19:05:18.741  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@1ef7e4c7
2021-11-14 19:05:18.741  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@57edfa89
2021-11-14 19:05:18.742  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@6c0bf8f4
2021-11-14 19:05:18.742  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@73476e2d
2021-11-14 19:05:18.742  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@52b77d5e
2021-11-14 19:05:18.742  INFO 29708 --- [main] t.e.s.s.D.DepartementServiceImpl         : Out of method Retrieve departements
2021-11-14 19:13:29.376  INFO 29989 --- [main] s.TimesheetDevopsProjectApplicationTests : Starting TimesheetDevopsProjectApplicationTests using Java 11.0.10 on Macbook.local with PID 29989 (started by macbook in /Users/macbook/Downloads/timesheet-devopsProject)
2021-11-14 19:13:29.381  INFO 29989 --- [main] s.TimesheetDevopsProjectApplicationTests : No active profile set, falling back to default profiles: default
2021-11-14 19:13:30.878  INFO 29989 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2021-11-14 19:13:30.953  INFO 29989 --- [main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2021-11-14 19:13:31.137  INFO 29989 --- [main] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-11-14 19:13:31.270  WARN 29989 --- [main] com.zaxxer.hikari.util.DriverDataSource  : Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
2021-11-14 19:13:31.540  INFO 29989 --- [main] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
2021-11-14 19:13:32.324  INFO 29989 --- [main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-11-14 19:13:32.910  WARN 29989 --- [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-11-14 19:13:33.500  INFO 29989 --- [main] s.TimesheetDevopsProjectApplicationTests : Started TimesheetDevopsProjectApplicationTests in 4.499 seconds (JVM running for 5.678)
2021-11-14 19:13:33.700  INFO 29989 --- [main] t.e.spring.services.UserServiceImplTest  : Starting UserServiceImplTest using Java 11.0.10 on Macbook.local with PID 29989 (started by macbook in /Users/macbook/Downloads/timesheet-devopsProject)
2021-11-14 19:13:33.702  INFO 29989 --- [main] t.e.spring.services.UserServiceImplTest  : No active profile set, falling back to default profiles: default
2021-11-14 19:13:34.001  INFO 29989 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2021-11-14 19:13:34.007  WARN 29989 --- [main] com.zaxxer.hikari.util.DriverDataSource  : Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
2021-11-14 19:13:34.012  INFO 29989 --- [main] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
2021-11-14 19:13:34.105  INFO 29989 --- [main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-11-14 19:13:34.300  WARN 29989 --- [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-11-14 19:13:34.524  INFO 29989 --- [main] t.e.spring.services.UserServiceImplTest  : Started UserServiceImplTest in 0.859 seconds (JVM running for 6.702)
2021-11-14 19:13:34.529  INFO 29989 --- [main] t.e.spring.services.UserServiceImpl      : In method Add User
2021-11-14 19:13:34.604  INFO 29989 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur Ajoute
2021-11-14 19:13:34.613  INFO 29989 --- [main] t.e.spring.services.UserServiceImpl      : In Method retrieve all Users : 
2021-11-14 19:13:34.775  INFO 29989 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=1, firstName=Mourad, lastName=Tlili, dateNaissance=2021-11-05, role=ADMINISTRATEUR] : trouve:
2021-11-14 19:13:34.775  INFO 29989 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=2, firstName=Mourad, lastName=Tlili, dateNaissance=2021-11-05, role=TECHNICIEN] : trouve:
2021-11-14 19:13:34.775  INFO 29989 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=3, firstName=Mourad, lastName=Tlili, dateNaissance=2021-11-11, role=INGENIEUR] : trouve:
2021-11-14 19:13:34.776  INFO 29989 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=4, firstName=Mourad, lastName=Tlili, dateNaissance=2021-11-11, role=CHEF_DEPARTEMENT] : trouve:
2021-11-14 19:13:34.776  INFO 29989 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=5, firstName=Mourad, lastName=Tlili, dateNaissance=2021-11-11, role=TECHNICIEN] : trouve:
2021-11-14 19:13:34.776  INFO 29989 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=6, firstName=Mourad, lastName=Tlili, dateNaissance=2021-11-11, role=INGENIEUR] : trouve:
2021-11-14 19:13:34.776  INFO 29989 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=7, firstName=Mourad, lastName=Tlili, dateNaissance=2021-11-13, role=ADMINISTRATEUR] : trouve:
2021-11-14 19:13:34.776  INFO 29989 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=8, firstName=Mourad, lastName=Tlili, dateNaissance=2021-11-13, role=CHEF_DEPARTEMENT] : trouve:
2021-11-14 19:13:34.776  INFO 29989 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=9, firstName=Mourad, lastName=Tlili, dateNaissance=2021-11-13, role=TECHNICIEN] : trouve:
2021-11-14 19:13:34.776  INFO 29989 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=10, firstName=Mourad, lastName=Tlili, dateNaissance=2021-11-13, role=TECHNICIEN] : trouve:
2021-11-14 19:13:34.777  INFO 29989 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=11, firstName=Mourad, lastName=Tlili, dateNaissance=2021-11-13, role=ADMINISTRATEUR] : trouve:
2021-11-14 19:13:34.777  INFO 29989 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=12, firstName=Mourad, lastName=Tlili, dateNaissance=2021-11-13, role=ADMINISTRATEUR] : trouve:
2021-11-14 19:13:34.777  INFO 29989 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=13, firstName=Nermine, lastName=Belarbi, dateNaissance=2021-11-14, role=TECHNICIEN] : trouve:
2021-11-14 19:13:34.777  INFO 29989 --- [main] t.e.spring.services.UserServiceImpl      : Utilisateur User [id=14, firstName=Nermine, lastName=Belarbi, dateNaissance=2021-11-14, role=CHEF_DEPARTEMENT] : trouve:
2021-11-14 19:13:34.777  INFO 29989 --- [main] t.e.spring.services.UserServiceImpl      : Out of Method retrieve all users with success
2021-11-14 19:13:34.790  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Into Method Add Department! 
2021-11-14 19:13:34.799  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Department added! 
2021-11-14 19:13:34.807  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Into Method Update Department! 
2021-11-14 19:13:34.814  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Department Updated! 
2021-11-14 19:13:34.819  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Searching department ...
2021-11-14 19:13:34.850  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Department tn.esprit.spring.entities.Departement@3445ddf2 found
2021-11-14 19:13:34.856  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : In method Retrrieve Departements!
2021-11-14 19:13:34.898  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Connexion a la base de donnée effectuée! 
2021-11-14 19:13:34.898  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@6ce24203
2021-11-14 19:13:34.898  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@4cc28ad0
2021-11-14 19:13:34.898  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@29811d4d
2021-11-14 19:13:34.898  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@28f081ad
2021-11-14 19:13:34.898  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@56fc2cea
2021-11-14 19:13:34.898  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@e30a8ef
2021-11-14 19:13:34.898  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@2ffaa711
2021-11-14 19:13:34.898  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@3abb6aa
2021-11-14 19:13:34.898  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@34074149
2021-11-14 19:13:34.899  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@3f7bf0f6
2021-11-14 19:13:34.899  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@45430a27
2021-11-14 19:13:34.899  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@1b83fac3
2021-11-14 19:13:34.899  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@28d37d43
2021-11-14 19:13:34.899  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@2c02cf78
2021-11-14 19:13:34.899  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@3e7fc07e
2021-11-14 19:13:34.899  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@29ebaf2f
2021-11-14 19:13:34.899  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@1a61f634
2021-11-14 19:13:34.900  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@20a2930f
2021-11-14 19:13:34.900  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@609edb55
2021-11-14 19:13:34.900  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@147892be
2021-11-14 19:13:34.900  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@13d1653
2021-11-14 19:13:34.900  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@3533d790
2021-11-14 19:13:34.900  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@23e1f610
2021-11-14 19:13:34.900  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@73dc7db0
2021-11-14 19:13:34.900  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@1a3a6216
2021-11-14 19:13:34.900  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@319ea996
2021-11-14 19:13:34.901  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@1de398c3
2021-11-14 19:13:34.901  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@dc24732
2021-11-14 19:13:34.901  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Out of method Retrieve departements
